    PID TTY      STAT   TIME COMMAND
      2 ?        S      0:00 [kthreadd]
    876 ?        Ss     0:00 /usr/bin/python /usr/bin/ds-inhibit
    877 ?        Ss     0:00 python3 /usr/bin/gpu-trace --daemon
    881 ?        Ss     0:36 /usr/bin/python -u /usr/share/jupiter-fan-control/fancontrol.py --run
    883 ?        Ss     0:00 socat TCP4-LISTEN:8081,fork TCP4:127.0.0.1:8080
    893 ?        Ss     0:00 /usr/lib/systemd/systemd-logind
    894 ?        Ss     0:08 /usr/lib/vpower
    906 ?        Ssl    0:08 /usr/bin/NetworkManager --no-daemon
    961 ?        Ss     0:00 /usr/lib/iwd/iwd
   1055 ?        Ss     0:01 /usr/lib/systemd/systemd --user
   1059 ?        S      0:00  \_ (sd-pam)
   1066 ?        Ssl    0:00  \_ /usr/bin/gamemoded
   1069 ?        Ss     0:02  \_ /usr/bin/dbus-daemon --session --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
   1213 ?        S<Lsl   5:56  \_ /usr/bin/pipewire
   1214 ?        S<sl   0:03  \_ /usr/bin/wireplumber
   1648 ?        Ssl    0:00  \_ /usr/lib/xdg-document-portal
   1660 ?        Ss     0:00  |   \_ fusermount -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   1652 ?        Ssl    0:00  \_ /usr/lib/xdg-permission-store
   1712 ?        SLsl   5:24  \_ /usr/bin/pipewire-pulse
   2686 ?        Ssl    0:00  \_ /usr/lib/dconf-service
   6570 ?        Ssl    0:00  \_ /usr/lib/xdg-desktop-portal
   6593 ?        Ssl    0:00  \_ /usr/lib/xdg-desktop-portal-kde
   6600 ?        SNsl   0:01  \_ /usr/lib/baloo_file
   6619 ?        Ssl    0:01  \_ /usr/bin/ksmserver
   6621 ?        Ssl    0:04  \_ /usr/bin/kded5
   6622 ?        Ssl    6:37  \_ /usr/bin/kwin_x11 --replace
   6668 ?        Ssl    0:45  \_ /usr/bin/plasmashell --no-respawn
   7811 ?        S      0:00  |   \_ bwrap --args 41 syncthing-gtk
   7831 ?        S      0:00  |   |   \_ bwrap --args 41 syncthing-gtk
   7832 ?        Sl     0:15  |   |       \_ /usr/bin/python3 /app/bin/syncthing-gtk
   7909 ?        Sl     0:00  |   |           \_ /app/bin/syncthing -no-browser
   7917 ?        SNl    0:46  |   |           |   \_ /app/bin/syncthing -no-browser
   7953 ?        Zs     0:00  |   |           \_ [xdg-open] <defunct>
  13834 ?        Sl     1:15  |   \_ /home/deck/Downloads/genymotion/genymotion
  15042 ?        R      0:00  |   |   \_ /usr/bin/ps afx
  14131 ?        Sl     0:03  |   \_ /usr/bin/dolphin
   6669 ?        Ssl    0:00  \_ /usr/bin/kglobalaccel5
   6694 ?        Ssl    0:00  \_ /usr/lib/kactivitymanagerd
   6695 ?        Ssl    0:00  \_ /usr/bin/gmenudbusmenuproxy
   6696 ?        Ssl    0:00  \_ /usr/lib/polkit-kde-authentication-agent-1
   6697 ?        Ssl    0:01  \_ /usr/lib/org_kde_powerdevil
   6698 ?        Ssl    0:03  \_ /usr/bin/xembedsniproxy
   6784 ?        Ssl    0:00  \_ /usr/lib/kf5/kscreen_backend_launcher
   6811 ?        Ssl    0:01  \_ /usr/lib/kdeconnectd
   6817 ?        Ssl    0:00  \_ /usr/lib/geoclue-2.0/demos/agent
   6818 ?        Ssl    0:01  \_ /usr/bin/ibus-daemon --panel=/usr/lib/kimpanel-ibus-panel
   6861 ?        Sl     0:00  |   \_ /usr/lib/ibus/ibus-dconf
   6865 ?        Sl     0:01  |   \_ /usr/lib/ibus/ibus-extension-gtk3
   6944 ?        Sl     0:00  |   \_ /usr/lib/ibus/ibus-engine-simple
   6820 ?        Ssl    0:00  \_ /usr/bin/kaccess
   6823 ?        Ssl    0:02  \_ /usr/lib/DiscoverNotifier
   6824 ?        Ss     0:00  \_ bash /home/deck/.local/share/Steam/steam.sh -steamdeck -silent
   7093 ?        S<l    9:15  |   \_ /home/deck/.local/share/Steam/ubuntu12_32/steam -steamdeck -silent
   7127 ?        Ssl    1:13  |       \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper -lang=ru_RU -cachedir=/home/deck/.local/share/Steam/config/htmlcache -steampid=7093 -buildid=1685488080 -steamid=0 -logdir=/home/deck/.local/share/Steam/logs -steamdeck -steamuniverse=Public -realm=Global -clientui=/home/deck/.local/share/Steam/clientui --enable-media-stream --enable-smooth-scrolling --use-angle=gl --use-cmd-decoder=passthrough --no-sandbox --password-store=basic --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --disable-quick-menu --disable-features=SameSiteByDefaultCookies --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --disable-blink-features=Badging
   7170 ?        S      0:00  |           \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=zygote --no-zygote-sandbox --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8
   7182 ?        Sl     0:41  |           |   \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=gpu-process --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --no-sandbox --use-cmd-decoder=passthrough --use-angle=gl --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8 --gpu-preferences=MAAAAAAAAAAgAAAQAAAAAAAAAAAAAAAAAABgAAAAAAAQAAAAAAAAAAAAAAAAAAAACAAAAAAAAAA= --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --shared-files
   7171 ?        S      0:00  |           \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=zygote --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8
   7287 ?        Sl     2:23  |           |   \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --disable-blink-features=Badging --lang=en-US --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=4 --shared-files=v8_snapshot_data:100
   7397 ?        Sl     0:00  |           |   \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --disable-blink-features=Badging --lang=en-US --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=6 --shared-files=v8_snapshot_data:100
   7410 ?        Sl     0:00  |           |   \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --disable-blink-features=Badging --lang=en-US --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=7 --shared-files=v8_snapshot_data:100
   7445 ?        S<l    0:03  |           |   \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=renderer --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --enable-blink-features=ResizeObserver,Worklet,AudioWorklet --disable-blink-features=Badging --lang=en-US --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=8 --shared-files=v8_snapshot_data:100
   7204 ?        Sl     0:00  |           \_ /home/deck/.local/share/Steam/ubuntu12_64/steamwebhelper --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=3985749180768331321,12771422754128849313,131072 --enable-features=CastMediaRouteProvider --disable-features=SameSiteByDefaultCookies --lang=en-US --service-sandbox-type=network --no-sandbox --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --product-version=Valve Steam Client --lang=en_US.UTF-8 --log-file=/home/deck/.local/share/Steam/logs/cef_log.txt --shared-files=v8_snapshot_data:100
   6864 ?        Sl     0:00  \_ /usr/lib/kimpanel-ibus-panel
   6871 ?        Sl     0:00  \_ /usr/lib/ibus/ibus-portal
   6907 ?        Ssl    0:00  \_ /usr/lib/at-spi-bus-launcher
   6920 ?        S      0:00  |   \_ /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
   6928 ?        Sl     0:00  \_ /usr/lib/at-spi2-registryd --use-gnome-session
   7815 ?        Ssl    0:00  \_ /usr/lib/flatpak-session-helper
   7819 ?        Ss     0:00  \_ server --sh -n /run/user/1000/.flatpak-helper/pkcs11-flatpak-7815 --provider p11-kit-trust.so pkcs11:model=p11-kit-trust?write-protected=yes
   7827 ?        S      0:00  \_ bwrap --args 41 xdg-dbus-proxy --args=43
   7828 ?        Sl     0:00  |   \_ xdg-dbus-proxy --args=43
   8474 ?        Ssl    0:14  \_ adb -L tcp:5037 fork-server server --reply-fd 6
   9781 ?        Ssl    0:00  \_ /usr/lib/kio-fuse -f
   9845 ?        Sl     0:04  \_ /usr/lib/kf5/kio_http_cache_cleaner
   9848 ?        Sl     0:00  \_ /usr/lib/kf5/kiod5
  14705 ?        Sl     0:09  \_ /home/deck/Downloads/genymotion/player --vm-name 11cb402b-60cc-4861-8966-ee5f98855ee9 --resume
  14896 ?        Sl     0:00  |   \_ /home/deck/Downloads/genymotion/tools/adb -s 127.0.0.1:6555 shell
  14900 ?        S      0:00  |   \_ /home/deck/Downloads/genymotion/tools/adb -s 127.0.0.1:6555 logcat -v time
